Classification report for Rochhio classifier:
(with TF-IDF scoring and Euclidean Distance)
                 precision    recall  f1-score   support
         750       1.00      0.15      0.27        13
         751       0.00      0.00      0.00        11
         752       0.86      0.40      0.55        15
         753       1.00      0.27      0.43        11
         754       1.00      0.08      0.15        12
         755       0.29      0.18      0.22        11
         756       1.00      0.15      0.27        13
         757       0.00      0.00      0.00        13
         758       0.67      0.44      0.53         9
         759       0.00      0.00      0.00        12
         760       1.00      0.27      0.43        11
         761       0.00      0.00      0.00        13
         762       0.67      0.22      0.33         9
         763       0.00      0.00      0.00        10
         764       0.80      0.27      0.40        15
         765       1.00      0.36      0.53        14
         766       1.00      0.25      0.40        12
         767       1.00      0.21      0.35        14
         768       0.12      0.09      0.11        11
         769       0.00      0.00      0.00        13
         770       1.00      0.17      0.29        12
         771       0.00      0.00      0.00        14
         772       1.00      0.47      0.64        15
         773       1.00      0.14      0.25        14
         774       0.00      0.00      0.00        12
         775       1.00      0.25      0.40        12
         776       0.83      0.50      0.62        10
         777       1.00      0.30      0.46        10
         778       0.00      0.00      0.00        15
         779       0.50      0.13      0.21        15
         780       0.67      0.25      0.36         8
         781       0.50      0.08      0.13        13
         782       1.00      0.13      0.24        15
         783       1.00      0.17      0.29        12
         784       0.00      0.00      0.00        15
         785       1.00      0.13      0.24        15
         786       0.00      0.00      0.00        13
         787       0.80      0.27      0.40        15
         788       0.50      0.07      0.12        14
         789       1.00      0.71      0.83        14
         790       0.80      0.44      0.57         9
         791       1.00      0.07      0.12        15
         792       1.00      0.23      0.38        13
         793       0.01      1.00      0.02        13
         794       1.00      0.21      0.35        14
         795       0.00      0.00      0.00        11
         796       0.00      0.00      0.00        14
         797       0.50      0.25      0.33        12
         798       0.00      0.00      0.00        11
         799       1.00      0.36      0.53        11
         800       0.50      0.10      0.17        10
         801       0.67      0.14      0.24        14
         802       0.75      0.25      0.38        12
         803       1.00      0.09      0.17        11
         804       0.00      0.00      0.00        12
         805       0.67      0.31      0.42        13
         806       0.00      0.00      0.00        13
         807       0.56      0.36      0.43        14
         808       1.00      0.30      0.46        10
         809       0.75      0.21      0.33        14
         810       0.60      0.23      0.33        13
         811       1.00      0.13      0.24        15
         812       0.00      0.00      0.00        14
         813       1.00      0.20      0.33        15
         814       0.50      0.07      0.12        15
         815       1.00      0.07      0.13        14
         835       0.23      0.36      0.28        14
         836       1.00      0.07      0.13        14
         837       0.00      0.00      0.00        10
         838       0.00      0.00      0.00        13
         839       1.00      0.15      0.27        13
         840       0.00      0.00      0.00        15
         841       1.00      0.08      0.14        13
         842       1.00      0.09      0.17        11
         843       0.00      0.00      0.00        13
         844       1.00      0.07      0.12        15
         845       1.00      0.07      0.12        15
         846       0.33      0.08      0.12        13
         847       0.00      0.00      0.00         7
         848       1.00      0.14      0.25        14
         849       0.50      0.07      0.12        14
         850       1.00      0.15      0.27        13

    accuracy                           0.16      1861
   macro avg       0.61      0.17      0.24      1861
weighted avg       0.62      0.16      0.23      1861
